,sold,listed,county_avg_value,sold_above_value,median_price,national_avg_value
2018-01-31,686.0,2858.0,232211.48894638856,0.087378640776699,220000.0,218048.1320679906
2018-02-28,607.0,2616.0,232628.5724260386,0.1351351351351351,204000.0,219231.4064594288
2018-03-31,737.0,2892.0,232962.4541058195,0.138047138047138,226000.0,220596.3696746732
2018-04-30,877.0,3397.0,233203.03402515617,0.1715039577836411,220000.0,221833.83852266156
2018-05-31,1003.0,3482.0,233415.9653793527,0.2145748987854251,237500.0,223036.31701257508
2018-06-30,1376.0,3498.0,233520.25640823893,0.2024729520865533,259950.0,223919.40989186693
2018-07-31,1192.0,3446.0,233887.44286135337,0.234006734006734,245000.0,225025.7993288129
2018-08-31,1160.0,3486.0,234243.9128182406,0.1800356506238859,250000.0,226084.6479494516
2018-09-30,825.0,3408.0,234686.89360891763,0.1778350515463917,235273.0,227141.71642520977
2018-10-31,1007.0,3322.0,234986.5506859383,0.1652173913043478,230000.0,227861.7080413973
2018-11-30,846.0,3013.0,235447.966386284,0.1806615776081425,220000.0,228589.94443200607
2018-12-31,751.0,2587.0,235884.0784877633,0.1509433962264151,220000.0,229374.8238945516
2019-01-31,621.0,2463.0,236374.73693695976,0.1737588652482269,200000.0,230341.7191647552
2019-02-28,573.0,2499.0,236998.49619499664,0.1739130434782608,212500.0,231481.22266906512
2019-03-31,713.0,2863.0,237829.81758204437,0.194888178913738,221500.0,232710.52889562777
2019-04-30,931.0,3187.0,238669.0905864709,0.1973094170403587,230000.0,233818.0507471038
2019-05-31,1139.0,3547.0,239093.06555342473,0.2108843537414966,248175.0,234654.36204839463
2019-06-30,1183.0,3594.0,239340.2986400676,0.2627511591962905,255250.0,235389.6187722668
2019-07-31,1245.0,3497.0,239551.41579653675,0.2689969604863222,245000.0,236068.2232751006
2019-08-31,1192.0,3436.0,239812.94393569257,0.2153614457831325,241250.0,236805.41869311623
2019-09-30,938.0,3350.0,239943.20773564125,0.1866125760649087,235000.0,237452.3564264454
2019-10-31,933.0,3182.0,240310.77363154912,0.2017167381974249,235000.0,238337.91553146555
2019-11-30,867.0,2778.0,241118.86655402053,0.1915367483296214,219000.0,239523.12416844687
2019-12-31,882.0,2324.0,242175.64361135263,0.2111368909512761,226000.0,240903.5308643914
2020-01-31,735.0,2261.0,243447.3171690836,0.2186588921282798,210000.0,242391.35165129605
2020-02-29,636.0,2338.0,244644.5202757334,0.218954248366013,207900.0,243847.76065086317
2020-03-31,794.0,2468.0,246301.4916496426,0.3014705882352941,234950.0,245376.9163906336
2020-04-30,747.0,2178.0,247894.7809251588,0.2605263157894736,245561.0,246713.2334696444
2020-05-31,826.0,2370.0,248998.17335289795,0.3110151187904967,244100.0,247480.32776404775
2020-06-30,1012.0,2465.0,249268.8756014347,0.2681159420289855,250000.0,247933.73452246469
2020-07-31,1361.0,2447.0,249461.6614819015,0.3311081441922563,268950.0,248672.0427862911
2020-08-31,1359.0,2412.0,250664.5967894341,0.4422827496757457,265000.0,250373.4958185559
2020-09-30,1354.0,2443.0,253443.92398234547,0.4312736443883985,270000.0,253246.28081294097
2020-10-31,1476.0,2356.0,257515.4876751185,0.4485981308411215,266000.0,256718.84962236424
2020-11-30,1264.0,2099.0,262378.23397812975,0.4390581717451524,265000.0,260621.9172412341
2020-12-31,1271.0,1674.0,267499.8824372803,0.4545454545454545,270000.0,264410.8882774058
2021-01-31,986.0,1598.0,272421.9727044269,0.4062968515742129,252051.0,268073.06540637714
2021-02-28,816.0,1235.0,277232.661046742,0.3875838926174497,255000.0,271829.04644536466
2021-03-31,1035.0,1471.0,281933.62964415725,0.4626666666666666,275000.0,275738.2734804239
2021-04-30,1102.0,1583.0,286550.773500364,0.5397590361445783,282250.0,279984.58598905633
2021-05-31,1131.0,1775.0,291335.01714680356,0.6152927120669056,295000.0,284656.4062820314
2021-06-30,1499.0,1824.0,296063.5355965683,0.6829268292682927,311500.0,289667.88941770355
2021-07-31,1395.0,1965.0,299517.11280765926,0.6333647502356268,319000.0,294121.93938004895
2021-08-31,1361.0,2054.0,300826.4076799971,0.6011505273250239,300750.0,297225.2730968481
2021-09-30,1268.0,1925.0,299985.4394106987,0.5469556243550051,299900.0,299042.12714564026
2021-10-31,1124.0,1832.0,299058.448492287,0.5161987041036717,290000.0,300831.31977451645
2021-11-30,1080.0,1504.0,299073.2077072626,0.5024570024570024,299450.0,303337.00052900804
2021-12-31,1087.0,1128.0,300692.67031408846,0.4807916181606519,288075.0,306473.2814388871
2022-01-31,845.0,1025.0,304649.57122479024,0.5143312101910829,286000.0,310878.8735178546
2022-02-28,688.0,921.0,310149.28519932204,0.5,300000.0,316192.25855603366
2022-03-31,914.0,1198.0,316389.19522120146,0.58,301000.0,322443.19487696997
2022-04-30,906.0,1393.0,322102.6542711036,0.6671732522796353,310000.0,328638.31936062255
2022-05-31,1048.0,1479.0,327149.84096590267,0.7240932642487047,323000.0,334146.74501174496
2022-06-30,1219.0,1643.0,331579.01179249614,0.7269969666329625,350000.0,338729.4243220286
2022-07-31,1120.0,1660.0,334305.13972108375,0.6425233644859814,348950.0,341129.6923237967
2022-08-31,1185.0,1620.0,335051.2938563016,0.5971615720524017,345000.0,341484.4582295267
2022-09-30,996.0,1526.0,334367.82658884994,0.5426751592356688,330250.0,340216.83645881154
2022-10-31,823.0,1476.0,333855.7512776505,0.4847560975609756,330000.0,338980.08864739066
2022-11-30,793.0,1318.0,334227.3461223896,0.4654605263157895,317500.0,337931.8036843093
2022-12-31,785.0,1064.0,335021.5842638039,0.4639865996649916,300000.0,336979.5392311223
2023-01-31,578.0,980.0,335344.0939047391,0.398633257403189,300000.0,335796.3125301235
2023-02-28,495.0,872.0,336301.8326470374,0.4761904761904761,302000.0,334987.7919264543
2023-03-31,706.0,936.0,337939.68017104245,0.5319926873857403,300000.0,335029.19959523855
2023-04-30,612.0,1028.0,340934.69551278464,0.6192468619246861,328000.0,336073.8093484628
2023-05-31,786.0,1139.0,344249.7396505296,0.6336134453781512,345100.0,337756.9881060158
2023-06-30,958.0,1250.0,347875.19918209006,0.6775510204081633,350000.0,339713.1895660357
2023-07-31,774.0,1257.0,352096.6116124506,0.693631669535284,365000.0,341456.75877386035
2023-08-31,901.0,1184.0,356566.9957036418,0.6285310734463276,359000.0,343039.9636760472
2023-09-30,724.0,1200.0,360855.3691646407,0.6056338028169014,360000.0,344209.7586545642
2023-10-31,730.0,1290.0,364198.1642708769,0.584055459272097,349900.0,345084.40277336823
2023-11-30,654.0,1137.0,366863.5580692256,0.5692307692307692,350000.0,345718.29381233227
2023-12-31,673.0,903.0,368994.70947933354,0.5383064516129032,340000.0,346181.85989915294
2024-01-31,494.0,896.0,370693.5815233122,0.4741144414168937,330500.0,346625.3092201509
2024-02-29,410.0,857.0,372650.6352330463,0.4741144414168937,330500.0,347441.84998354025
